index,ticker,name,cik,sector,sub_industry,industry_group
313,MSFT,Microsoft,789019,Information Technology,Systems Software,Software & Services
314,MAA,Mid-America Apartment Communities,912595,Real Estate,Multi-Family Residential REITs,Equity Real Estate Investment Trusts (REITs)
315,MRNA,Moderna,1682852,Health Care,Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences"
316,MHK,Mohawk Industries,851968,Consumer Discretionary,Home Furnishings,Consumer Durables & Apparel
317,MOH,Molina Healthcare,1179929,Health Care,Managed Health Care,Health Care Equipment & Services
318,TAP,Molson Coors Beverage Company,24545,Consumer Staples,Brewers,"Food, Beverage & Tobacco"
319,MDLZ,Mondelez International,1103982,Consumer Staples,Packaged Foods & Meats,"Food, Beverage & Tobacco"
320,MPWR,Monolithic Power Systems,1280452,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
321,MNST,Monster Beverage,865752,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Food, Beverage & Tobacco"
322,MCO,Moody's Corporation,1059556,Financials,Financial Exchanges & Data,Financial Services
323,MS,Morgan Stanley,895421,Financials,Investment Banking & Brokerage,Financial Services
324,MOS,Mosaic Company (The),1285785,Materials,Fertilizers & Agricultural Chemicals,Materials
325,MSI,Motorola Solutions,68505,Information Technology,Communications Equipment,Technology Hardware & Equipment
326,MSCI,MSCI Inc.,1408198,Financials,Financial Exchanges & Data,Financial Services
327,NDAQ,"Nasdaq, Inc.",1120193,Financials,Financial Exchanges & Data,Financial Services
328,NTAP,NetApp,1002047,Information Technology,"Technology Hardware, Storage & Peripherals",Technology Hardware & Equipment
329,NFLX,Netflix,1065280,Communication Services,Movies & Entertainment,Media & Entertainment
330,NEM,Newmont,1164727,Materials,Gold,Materials
331,NWSA,News Corp (Class A),1564708,Communication Services,Publishing,Media & Entertainment
332,NWS,News Corp (Class B),1564708,Communication Services,Publishing,Media & Entertainment
333,NEE,NextEra Energy,753308,Utilities,Multi-Utilities,Utilities
334,NKE,"Nike, Inc.",320187,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",Consumer Durables & Apparel
335,NI,NiSource,1111711,Utilities,Multi-Utilities,Utilities
336,NDSN,Nordson Corporation,72331,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
337,NSC,Norfolk Southern,702165,Industrials,Rail Transportation,Transportation
338,NTRS,Northern Trust,73124,Financials,Asset Management & Custody Banks,Financial Services
339,NOC,Northrop Grumman,1133421,Industrials,Aerospace & Defense,Capital Goods
340,NCLH,Norwegian Cruise Line Holdings,1513761,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",Consumer Services
341,NRG,NRG Energy,1013871,Utilities,Independent Power Producers & Energy Traders,Utilities
342,NUE,Nucor,73309,Materials,Steel,Materials
343,NVDA,Nvidia,1045810,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
344,NVR,"NVR, Inc.",906163,Consumer Discretionary,Homebuilding,Consumer Durables & Apparel
345,NXPI,NXP Semiconductors,1413447,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
346,ORLY,O’Reilly Automotive,898173,Consumer Discretionary,Automotive Retail,Consumer Discretionary Distribution & Retail
347,OXY,Occidental Petroleum,797468,Energy,Oil & Gas Exploration & Production,Energy
348,ODFL,Old Dominion,878927,Industrials,Cargo Ground Transportation,Transportation
349,OMC,Omnicom Group,29989,Communication Services,Advertising,Media & Entertainment
350,ON,ON Semiconductor,1097864,Information Technology,Semiconductors,Semiconductors & Semiconductor Equipment
351,OKE,Oneok,1039684,Energy,Oil & Gas Storage & Transportation,Energy
352,ORCL,Oracle Corporation,1341439,Information Technology,Application Software,Software & Services
353,OTIS,Otis Worldwide,1781335,Industrials,Industrial Machinery & Supplies & Components,Capital Goods
354,PCAR,Paccar,75362,Industrials,Construction Machinery & Heavy Transportation Equipment,Capital Goods
